author,published_at,like_count,text,is_reply
@TimeCapsule_Admin,2025-08-18T13:49:56Z,0,저런 자식이 대통령이 된 순간부터 이런일은 예상했어야 했어,False
@scn8310,2025-08-18T13:49:28Z,0,개자석,False
@mjkim-lo1zt,2025-08-18T13:48:42Z,0,국민모두 바이든이라는데 마음대로 날리면이라고 개소리하는것들 모두 구속시켜야한다,False
@xbulsara,2025-08-18T13:48:09Z,0,강훈.. 역시 관상은 과학,False
@mjkim-lo1zt,2025-08-18T13:47:16Z,0,자 이쯤되면 조선일보 응징해야지,False
@미토마슈팅바보,2025-08-18T13:46:40Z,0,숨쉬는 하나하나가 다 거짓입니다,False
@flashlightning4374,2025-08-18T13:44:42Z,0,생긴대로 논다는 말의 뜻을 이해하게됨,False
@유지명-r2i,2025-08-18T13:43:42Z,0,"천 번, 만 번을 들어도 바이든이다.<br>인간이 양심을 버리면 짐승보다 추악해진다.",False
@김병희-z3j,2025-08-18T13:43:07Z,0,쓰레기 다 모아놨네,False
@문정옥-g4t,2025-08-18T13:42:53Z,0,입만 벌리면  거짖말.<br>역겨워.,False
@charmj7301,2025-08-18T13:42:16Z,0,인간이 저렇게 뻔뻔할수 있다는게 저게 이 나라 대통령이었다는게 소름끼쳐요 철면피,False
@crom9325,2025-08-18T13:41:57Z,0,성지호 판사의 몰상식한 판결.이런 판사는 사라져야함,False
@김병희-z3j,2025-08-18T13:41:53Z,0,멧돼지 새끼는 양심조차없네,False
@YuhanJin-q3g,2025-08-18T13:41:37Z,0,독재하려고 지랄발광을 했네 아주!😡,False
@MOJ-v4o,2025-08-18T13:39:00Z,0,이제와서? 외교부 직원이 참 딱하다! 왜 사냐?,False
@독도는우리땅-z6f,2025-08-18T13:37:11Z,0,"조선일보 왈.. 일본천황폐하 만세, 김일성장군 만세.. 대한민국 반 국가세력의 선봉부대.. 반드시 폐간하고 모든 자산은 국고로 환수해야 ..",False
@changkeunmin4638,2025-08-18T13:33:46Z,0,더러워 토나온다!!,False
@김승국-g7u,2025-08-18T13:32:44Z,0,에잇 눈 버렸네<br>퉤퉤퉤.<br>저 꼬라지를 다시 볼 줄이야. 모자이크 합시다. 개짜증 납니다.,False
@redalder2137,2025-08-18T13:32:26Z,0,성지호 귀머거리 색뀌,False
@뽀빠이-w5g,2025-08-18T13:31:15Z,0,빤스  하수인 은해도  빤스  벗겨라,False
@js-tr7im,2025-08-18T13:30:29Z,0,개병신도 대통령이 될 수 있는나라. 나도 시켜줘. 계엄은 안 할게 ㅋㅋㅋ,False
@pigbear105,2025-08-18T13:30:20Z,0,여러모로 정신없던 ㅅㄲ였음,False
